,goal_id,match_date,competition_stage,home_team,home_score,away_team,away_score,period,minute,second,team,player,position,type,shot_outcome,location,play_pattern,shot_end_location,shot_statsbomb_xg,shot_type,pass_height,goal_num
0,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,8,Ecuador,Jhegson Sebastián Méndez Carabalí,Right Defensive Midfield,Pass,,"[45.4, 62.8]",Regular Play,,,,Ground Pass,1
1,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,9,Ecuador,Gonzalo Jordy Plata Jiménez,Right Midfield,Ball Receipt*,,"[49.5, 76.5]",Regular Play,,,,,1
2,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,9,Ecuador,Gonzalo Jordy Plata Jiménez,Right Midfield,Carry,,"[49.5, 76.5]",Regular Play,,,,,1
3,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,9,Ecuador,Gonzalo Jordy Plata Jiménez,Right Midfield,Pass,,"[50.5, 76.3]",Regular Play,,,,Ground Pass,1
4,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,10,Ecuador,Jhegson Sebastián Méndez Carabalí,Right Defensive Midfield,Ball Receipt*,,"[46.0, 65.8]",Regular Play,,,,,1
5,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,10,Ecuador,Jhegson Sebastián Méndez Carabalí,Right Defensive Midfield,Carry,,"[46.0, 65.8]",Regular Play,,,,,1
6,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,11,Ecuador,Jhegson Sebastián Méndez Carabalí,Right Defensive Midfield,Pass,,"[51.4, 59.6]",Regular Play,,,,Ground Pass,1
7,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,12,Ecuador,Michael Steveen Estrada Martínez,Left Center Forward,Ball Receipt*,,"[70.6, 48.5]",Regular Play,,,,,1
8,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,12,Ecuador,Michael Steveen Estrada Martínez,Left Center Forward,Carry,,"[70.6, 48.5]",Regular Play,,,,,1
9,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,14,Ecuador,Michael Steveen Estrada Martínez,Left Center Forward,Pass,,"[77.0, 47.2]",Regular Play,,,,Ground Pass,1
10,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,17,Ecuador,Enner Remberto Valencia Lastra,Right Center Forward,Ball Receipt*,,"[104.4, 38.9]",Regular Play,,,,,1
11,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,17,Ecuador,Enner Remberto Valencia Lastra,Right Center Forward,Carry,,"[104.4, 38.9]",Regular Play,,,,,1
12,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,14,17,Ecuador,Enner Remberto Valencia Lastra,Right Center Forward,Foul Won,,"[106.6, 38.5]",Regular Play,,,,,1
13,1,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,15,49,Ecuador,Enner Valencia,Right Center Forward,Shot,Goal,"[108.1, 40.1]",Other,"[120.0, 43.4, 0.2]",0.7835,Penalty,,1
14,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,31,Ecuador,Moisés Isaac Caicedo Corozo,Left Defensive Midfield,Ball Recovery,,"[62.9, 19.0]",Regular Play,,,,,2
15,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,31,Ecuador,Moisés Isaac Caicedo Corozo,Left Defensive Midfield,Carry,,"[62.9, 19.0]",Regular Play,,,,,2
16,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,36,Ecuador,Moisés Isaac Caicedo Corozo,Left Defensive Midfield,Pass,,"[90.1, 43.6]",Regular Play,,,,Ground Pass,2
17,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,37,Ecuador,Pervis Josué Estupiñán Tenorio,Left Back,Ball Receipt*,,"[94.4, 42.9]",Regular Play,,,,,2
18,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,38,Ecuador,Moisés Isaac Caicedo Corozo,Left Defensive Midfield,Ball Recovery,,"[95.2, 56.0]",Regular Play,,,,,2
19,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,38,Ecuador,Moisés Isaac Caicedo Corozo,Left Defensive Midfield,Carry,,"[95.2, 56.0]",Regular Play,,,,,2
20,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,41,Ecuador,Moisés Isaac Caicedo Corozo,Left Defensive Midfield,Pass,,"[112.6, 71.8]",Regular Play,,,,Ground Pass,2
21,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,43,Ecuador,Angelo Smit Preciado Quiñónez,Right Back,Ball Receipt*,,"[98.0, 73.5]",Regular Play,,,,,2
22,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,43,Ecuador,Angelo Smit Preciado Quiñónez,Right Back,Pass,,"[98.2, 73.5]",Regular Play,,,,High Pass,2
23,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,44,Ecuador,Enner Remberto Valencia Lastra,Right Center Forward,Ball Receipt*,,"[109.6, 38.0]",Regular Play,,,,,2
24,2,2022-11-20,Group Stage,Qatar,0.0,Ecuador,2.0,1,30,44,Ecuador,Enner Valencia,Right Center Forward,Shot,Goal,"[109.6, 38.0]",Regular Play,"[120.0, 36.5, 0.6]",0.08878088,Open Play,,2
25,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,1,England,John Stones,Right Center Back,Pass,,"[18.6, 65.8]",Regular Play,,,,High Pass,1
26,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,5,England,Raheem Sterling,Left Wing,Ball Receipt*,,"[44.2, 50.1]",Regular Play,,,,,1
27,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,5,England,Raheem Sterling,Left Wing,Carry,,"[44.2, 50.1]",Regular Play,,,,,1
28,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,5,England,Raheem Sterling,Left Wing,Miscontrol,,"[44.7, 49.0]",Regular Play,,,,,1
29,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,6,England,Jude Bellingham,Right Defensive Midfield,Pass,,"[38.3, 51.5]",Regular Play,,,,Ground Pass,1
30,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,8,England,Luke Shaw,Left Back,Ball Receipt*,,"[30.9, 25.7]",Regular Play,,,,,1
31,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,8,England,Luke Shaw,Left Back,Carry,,"[30.9, 25.7]",Regular Play,,,,,1
32,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,17,England,Luke Shaw,Left Back,Pass,,"[78.0, 7.8]",Regular Play,,,,Ground Pass,1
33,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,18,England,Raheem Sterling,Left Wing,Ball Receipt*,,"[75.3, 2.3]",Regular Play,,,,,1
34,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,18,England,Raheem Sterling,Left Wing,Carry,,"[75.3, 2.3]",Regular Play,,,,,1
35,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,19,England,Raheem Sterling,Left Wing,Pass,,"[75.0, 2.6]",Regular Play,,,,Ground Pass,1
36,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,20,England,Mason Mount,Center Attacking Midfield,Ball Receipt*,,"[68.0, 8.7]",Regular Play,,,,,1
37,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,20,England,Mason Mount,Center Attacking Midfield,Carry,,"[68.0, 8.7]",Regular Play,,,,,1
38,3,2022-11-21,Group Stage,England,6.0,Iran,2.0,1,33,20,England,Mason Mount,Center Attacking Midfield,Pass,,"[66.7, 9.8]",Regular Play,,,,Ground Pass,1
